country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
FRA,France,Lasse,WRI1024601,9.19,47.5441,0.0063,Biomass,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,36.106056018168026
FRA,France,Lathus-Saint-Rémy,WRI1025587,1.22979,46.3208,0.9437,Solar,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,2.029944298828684
FRA,France,Latouille-Lentillac,WRI1025246,2.155,44.8504,1.9809,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,7.563193958217758
FRA,France,Latour-Bas-Elne,WRI1025520,1.33221,42.6048,3.0053,Solar,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,2.199003158541345
FRA,France,Lattes,WRI1025299,1.954,43.5635,3.9025,Biomass,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,7.676956850870546
FRA,France,Lattes,WRI1025422,1.56172,43.5635,3.9025,Solar,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,2.577842241656488
FRA,France,Laucourt,WRI1024546,10.0,49.6722,2.7617,Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,19.03310208336829
FRA,France,Laudun-l'Ardoise,WRI1025337,1.8108,44.1028,4.6638,Solar,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,2.9889844089795665
FRA,France,Lautrec,WRI1025515,1.34368,43.7051,2.1300,Solar,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,2.2179360341604064
FRA,France,Lauwin-Planque,WRI1024308,12.0,50.3928,3.0296,Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,22.83972250004195
FRA,France,Lauzach,WRI1024528,10.0,47.6109,-2.5561,Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,19.03310208336829
FRA,France,Laval,WRI1025019,3.96,45.2362,5.9815,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,Open Power System Data,,,,,,13.898026948743539
