country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
GBR,United Kingdom,Lower Melville Wood,GBR0000697,1.0,56.2926,-3.1325,Waste,,,,,Fife Council,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,2.169101847872798
GBR,United Kingdom,Lower Newton Farm,GBR0002032,11.5,52.9473,-2.0203,Solar,,,,,Novus Solar Developments,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,5.678562284348747
GBR,United Kingdom,Lower Pennington Farm,GBR0001907,2.7,50.7400,-1.5529,Solar,,,,,West Solent Solar Cooperative Ltd - Anthony Woolhouse -,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,1.3332276667601406
GBR,United Kingdom,Lower Severalls Farm,GBR0002154,10.8,50.8989,-2.7772,Solar,,,,,Sigma Solar Limited / OPDE,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,5.332910667040562
GBR,United Kingdom,Lower Slade Farm,GBR0002033,4.1,50.2933,-3.7671,Solar,,,,,PS Renewables,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,2.0245309013765094
GBR,United Kingdom,Lower Stanley Farm,GBR0005139,4.0,51.9799,-1.9979,Solar,,,,,Green Hedge (BayWa r.e.),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,1.9751520989039117
GBR,United Kingdom,Lower Ufford Lane,GBR0002034,1.1,52.1366,1.3657,Solar,,,,,William Notcutt Estates,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,0.5431668271985758
GBR,United Kingdom,Lower Venn Farm,GBR0005686,5.0,52.1386,-2.6694,Solar,,,,,New Energy for the World,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,2.46894012362989
GBR,United Kingdom,Lowther Farms,GBR0001500,1.8,52.3599,-1.0243,Solar,,,,,Lowther Farms,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,0.8888184445067603
GBR,United Kingdom,Lubreoch,GBR0000464,4.0,56.5419,-4.5174,Hydro,,,,,Scottish and Southern Energy (SSE),Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes;https://www.gov.uk/government/collections/renewable-energy-planning-data,UK Renewable Energy Planning Database,2016,,,,,9.297861905329992
